title,primary_language,year,genres_str,movieId,genres_list
Ravi Teja,Telugu,2004,"Action, Drama",9000136,"['Crime', 'Action', 'Sci-Fi', 'Comedy']"
Vikramarkudu,Telugu,2000,"Action, Drama",9000137,"['Horror', 'Action']"
Bhadra,Telugu,2000,"Action, Drama",9000138,"['Action', 'Horror', 'Comedy']"
Tulasi,Telugu,2025,"Action, Drama",9000139,"['Comedy', 'Thriller', 'Sci-Fi', 'Action']"
Nuvvostanante Nenoddantana,Telugu,2012,"Action, Drama",9000140,"['Drama', 'Comedy']"
Pournami,Telugu,2017,"Action, Drama",9000142,"['Drama', 'Romance', 'Action', 'Comedy']"
Sivaji: The Boss,Telugu,2024,"Action, Drama",9000144,"['Comedy', 'Drama']"
Robo,Telugu,2011,"Action, Drama",9000145,"['Romance', 'Action']"
2.0,Telugu,2020,"Action, Drama",9000146,"['Drama', 'Action']"
Khaidi,Telugu,2016,"Action, Drama",9000147,"['Horror', 'Comedy']"
Vikram,Telugu,2024,"Action, Thriller",9000148,"['Thriller', 'Action', 'Comedy']"
Leo,Telugu,2019,"Action, Thriller",9000149,"['Romance', 'Comedy']"
Jailer,Telugu,2018,"Action, Comedy, Crime",9000150,"['Crime', 'Horror', 'Romance', 'Action']"
Master,Telugu,2004,"Action, Drama",9000151,"['Romance', 'Action']"
Sarkar,Telugu,2005,"Action, Drama",9000152,"['Horror', 'Comedy']"
Theri,Telugu,2018,"Action, Drama",9000153,"['Sci-Fi', 'Horror', 'Action']"
Mersal,Telugu,2019,"Action, Drama",9000154,"['Action', 'Crime']"
Bigil,Telugu,2020,"Action, Drama",9000155,"['Thriller', 'Action']"
Kaithi,Telugu,2018,"Action, Drama",9000156,"['Romance', 'Action']"
KGF: Chapter 1,Telugu,2019,"Action, Crime, Drama",9000157,"['Thriller', 'Action']"
KGF: Chapter 2,Telugu,2001,"Action, Crime, Drama",9000158,"['Comedy', 'Crime', 'Horror', 'Action']"
Kantara,Telugu,2008,"Action, Drama",9000159,"['Comedy', 'Crime', 'Romance']"
7/G Brindavan Colony,Telugu,2013,"Action, Drama",9000160,"['Sci-Fi', 'Action', 'Comedy']"
Aadavari Matalaku Arthale Verule,Telugu,2000,"Action, Drama",9000161,"['Crime', 'Romance', 'Action']"
Kotha Bangaru Lokam,Telugu,2002,"Action, Drama",9000162,"['Comedy', 'Thriller', 'Action']"
Happy Days,Telugu,2004,"Action, Drama",9000163,"['Crime', 'Romance', 'Action']"
Godavari,Telugu,2023,"Action, Drama",9000164,"['Sci-Fi', 'Thriller', 'Action', 'Comedy']"
Anand,Telugu,2023,"Action, Drama",9000165,"['Horror', 'Action', 'Comedy']"
Leader,Telugu,2010,"Action, Drama",9000166,"['Sci-Fi', 'Comedy']"
Prasthanam,Telugu,2025,"Action, Drama",9000167,"['Sci-Fi', 'Action']"
Gamyam,Telugu,2015,"Action, Drama",9000168,"['Thriller', 'Comedy']"
Vedam,Telugu,2000,"Action, Drama",9000169,['Comedy']
Kanche,Telugu,2015,"Action, Drama",9000170,"['Drama', 'Crime']"
Gautamiputra Satakarni,Telugu,2012,"Action, Drama",9000171,['Action']
Dictator,Telugu,2023,"Action, Drama",9000172,"['Drama', 'Sci-Fi', 'Horror', 'Action']"
Legend,Telugu,2024,"Action, Drama",9000173,"['Romance', 'Action']"
Simha,Telugu,2007,"Action, Drama",9000174,"['Romance', 'Action', 'Comedy']"
Adhurs,Telugu,2010,"Action, Drama",9000175,"['Thriller', 'Action', 'Comedy']"
Kantri,Telugu,2007,"Action, Drama",9000176,"['Drama', 'Sci-Fi', 'Thriller', 'Action', 'Comedy']"
Rakhi,Telugu,2006,"Action, Drama",9000177,"['Horror', 'Thriller', 'Action']"
Lakshmi,Telugu,2003,"Action, Drama",9000178,"['Comedy', 'Horror', 'Action']"
Gowtam SSC,Telugu,2024,"Action, Drama",9000180,"['Thriller', 'Action', 'Drama']"
Devadasu,Telugu,2022,"Action, Drama",9000181,"['Comedy', 'Action']"
Parugu,Telugu,2000,"Action, Drama",9000183,"['Action', 'Comedy']"
Badrinath,Telugu,2020,"Action, Drama",9000184,"['Romance', 'Action']"
Duvvada Jagannadham,Telugu,2016,"Action, Drama",9000187,"['Romance', 'Action', 'Comedy']"
Gaddalakonda Ganesh,Telugu,2009,"Action, Drama",9000188,"['Sci-Fi', 'Comedy', 'Thriller', 'Action']"
Mukunda,Telugu,2002,"Action, Drama",9000189,"['Thriller', 'Comedy']"
Antariksham 9000 KMPH,Telugu,2003,"Action, Drama",9000191,"['Crime', 'Action']"
Ghazi,Telugu,2019,"Action, Drama",9000192,"['Sci-Fi', 'Comedy']"
Nene Raju Nene Mantri,Telugu,2026,"Action, Drama",9000193,"['Comedy', 'Action']"
Ninnu Kori,Telugu,2008,"Action, Drama",9000194,"['Comedy', 'Sci-Fi', 'Action']"
Majili,Telugu,2014,"Action, Drama",9000195,"['Comedy', 'Drama', 'Action']"
Tuck Jagadish,Telugu,2015,"Action, Drama",9000196,"['Romance', 'Action', 'Comedy']"
Nenu Local,Telugu,2002,"Action, Drama",9000200,"['Thriller', 'Romance', 'Comedy']"
MCA,Telugu,2026,"Action, Drama",9000201,"['Action', 'Comedy']"
Bhale Bhale Magadivoy,Telugu,2024,"Action, Drama",9000202,"['Horror', 'Sci-Fi', 'Drama', 'Action']"
Srirastu Subhamastu,Telugu,2018,"Action, Drama",9000204,"['Drama', 'Sci-Fi']"
Padi Padi Leche Manasu,Telugu,2013,"Action, Drama",9000205,"['Thriller', 'Drama', 'Action']"
A Aa,Telugu,2016,"Action, Drama",9000206,"['Horror', 'Comedy']"
Agnyaathavaasi,Telugu,2004,"Action, Drama",9000207,"['Horror', 'Action', 'Comedy']"
Katamarayudu,Telugu,2008,"Action, Drama",9000208,['Drama']
Sardaar Gabbar Singh,Telugu,2006,"Action, Drama",9000209,"['Comedy', 'Horror']"
Cameraman Gangatho Rambabu,Telugu,2001,"Action, Drama",9000211,"['Thriller', 'Crime']"
Panjaa,Telugu,2008,"Action, Drama",9000212,"['Crime', 'Comedy', 'Action']"
Teen Maar,Telugu,2003,"Action, Drama",9000213,"['Sci-Fi', 'Drama', 'Action']"
Puli,Telugu,2023,"Action, Drama",9000214,"['Thriller', 'Action', 'Comedy']"
Annavaram,Telugu,2006,"Action, Drama",9000216,"['Action', 'Thriller']"
Bangaram,Telugu,2017,"Action, Drama",9000217,"['Drama', 'Action']"
Balu,Telugu,2001,"Action, Drama",9000218,"['Horror', 'Crime', 'Romance', 'Action', 'Comedy']"
Gudumba Shankar,Telugu,2024,"Action, Drama",9000219,"['Romance', 'Sci-Fi', 'Horror', 'Action']"
Johnny,Telugu,2017,"Action, Drama",9000220,"['Sci-Fi', 'Comedy']"
Badri,Telugu,2014,"Action, Drama",9000222,"['Romance', 'Action']"
Thammudu,Telugu,2025,"Action, Drama",9000223,"['Sci-Fi', 'Romance', 'Comedy']"
Tholi Prema,Telugu,2005,"Romance, Drama",9000224,"['Drama', 'Action']"
Suswagatham,Telugu,2014,"Action, Drama",9000225,"['Horror', 'Action', 'Romance']"
Gokulamlo Seeta,Telugu,2015,"Action, Drama",9000226,"['Horror', 'Thriller', 'Action']"
Suryavamsam,Telugu,2022,"Action, Drama",9000227,"['Comedy', 'Horror', 'Action']"
Preminchukundam Raa,Telugu,2020,"Romance, Drama",9000228,"['Action', 'Crime', 'Horror', 'Comedy']"
Bobbili Raja,Telugu,2006,"Action, Drama",9000229,"['Thriller', 'Action', 'Comedy']"
Coolie No.1,Telugu,2009,"Action, Drama",9000230,"['Action', 'Crime', 'Drama', 'Comedy']"
Chanti,Telugu,2001,"Action, Drama",9000231,"['Comedy', 'Action']"
Kshana Kshanam,Telugu,2026,"Action, Drama",9000232,"['Thriller', 'Action', 'Horror']"
Shiva,Telugu,2001,"Action, Drama",9000233,"['Horror', 'Action']"
Geethanjali,Telugu,2010,"Action, Drama",9000234,"['Romance', 'Crime', 'Action']"
Nagarjuna,Telugu,2008,"Action, Drama",9000235,"['Comedy', 'Thriller', 'Drama', 'Action']"
Venkatesh,Telugu,2003,"Action, Drama",9000236,"['Sci-Fi', 'Romance', 'Action']"
Balakrishna,Telugu,2026,"Action, Drama",9000237,"['Romance', 'Drama', 'Action']"
Pawan Kalyan,Telugu,2019,"Action, Drama",9000239,"['Comedy', 'Action', 'Thriller']"
Mahesh Babu,Telugu,2000,"Action, Drama",9000240,"['Action', 'Thriller']"
Jr NTR,Telugu,2020,"Action, Drama",9000241,"['Action', 'Comedy']"
Ram Charan,Telugu,2020,"Action, Drama",9000242,"['Sci-Fi', 'Drama', 'Comedy']"
Allu Arjun,Telugu,2024,"Action, Drama",9000243,"['Horror', 'Crime', 'Sci-Fi', 'Action', 'Comedy']"
Prabhas,Telugu,2005,"Action, Drama",9000244,"['Action', 'Comedy', 'Crime']"
Nani,Telugu,2018,"Action, Drama",9000246,"['Crime', 'Sci-Fi', 'Romance']"
Vijay Deverakonda,Telugu,2016,"Action, Drama",9000247,"['Sci-Fi', 'Action']"
Malli Malli Idi Rani Roju,Telugu,2018,"Action, Drama",9000248,"['Horror', 'Action']"
Run Raja Run,Telugu,2004,"Action, Drama",9000249,"['Romance', 'Thriller', 'Action', 'Comedy']"
Express Raja,Telugu,2016,"Action, Drama",9000250,"['Sci-Fi', 'Thriller', 'Comedy']"
Bhale Manchi Roju,Telugu,2017,"Action, Drama",9000251,"['Drama', 'Action', 'Comedy']"
Swamy Ra Ra,Telugu,2002,"Action, Drama",9000252,"['Thriller', 'Crime', 'Horror']"
Karthikeya,Telugu,2001,"Action, Drama",9000253,"['Sci-Fi', 'Action', 'Comedy']"
Surya vs Surya,Telugu,2008,"Action, Drama",9000254,"['Comedy', 'Action']"
Ekkadiki Pothavu Chinnavada,Telugu,2010,"Action, Drama",9000255,"['Action', 'Comedy']"
Keshava,Telugu,2023,"Action, Drama",9000256,"['Comedy', 'Sci-Fi', 'Action']"
Kirrak Party,Telugu,2015,"Action, Drama",9000257,"['Romance', 'Sci-Fi', 'Action', 'Comedy']"
Arjun Suravaram,Telugu,2026,"Action, Drama",9000258,['Sci-Fi']
Kalki,Telugu,2013,"Action, Drama",9000260,"['Crime', 'Action']"
Bro,Telugu,2010,"Action, Drama",9000261,"['Crime', 'Drama', 'Comedy', 'Action']"
Ustaad Bhagat Singh,Telugu,2008,"Action, Drama",9000262,"['Comedy', 'Drama', 'Thriller', 'Action']"
OG,Telugu,2022,"Action, Drama",9000263,"['Drama', 'Crime', 'Horror']"
Hari Hara Veera Mallu,Telugu,2011,"Action, Drama",9000264,"['Action', 'Romance', 'Drama']"
Bade Miyan Chote Miyan,Telugu,2020,"Action, Drama",9000265,"['Sci-Fi', 'Thriller', 'Action']"
Family Star,Telugu,2017,"Action, Drama",9000267,"['Crime', 'Thriller', 'Action', 'Comedy']"
Saindhav,Telugu,2019,"Action, Drama",9000268,"['Romance', 'Action', 'Thriller', 'Comedy']"
Naa Saami Ranga,Telugu,2000,"Action, Drama",9000269,"['Sci-Fi', 'Romance', 'Horror']"
Eagle,Telugu,2009,"Action, Drama",9000270,"['Drama', 'Action', 'Comedy']"
Ooru Peru Bhairavakona,Telugu,2018,"Action, Drama",9000271,"['Sci-Fi', 'Action']"
Operation Valentine,Telugu,2025,"Action, Drama",9000272,"['Romance', 'Action', 'Comedy']"
Gaami,Telugu,2021,"Action, Drama",9000273,"['Drama', 'Thriller', 'Action', 'Comedy']"
Om Bheem Bush,Telugu,2019,"Action, Drama",9000274,"['Thriller', 'Crime', 'Action']"
Rathnam,Telugu,2006,"Action, Drama",9000276,"['Action', 'Thriller', 'Comedy']"
Manjummel Boys (Telugu),Telugu,2023,"Action, Drama",9000277,"['Sci-Fi', 'Action', 'Comedy']"
Premalu (Telugu),Telugu,2009,"Romance, Drama",9000278,"['Comedy', 'Action']"
Geethanjali Malli Vachindi,Telugu,2013,"Action, Drama",9000279,"['Sci-Fi', 'Action', 'Comedy']"
Saripodhaa Sanivaaram,Telugu,2015,"Action, Drama",9000281,"['Romance', 'Action', 'Thriller', 'Comedy']"
Lucky Baskhar,Telugu,2010,"Action, Drama",9000282,"['Romance', 'Horror', 'Action']"
Devara,Telugu,2005,"Action, Drama",9000284,"['Thriller', 'Action', 'Comedy']"
Pushpa 2,Telugu,2011,"Action, Drama",9000286,"['Sci-Fi', 'Romance', 'Drama', 'Action', 'Comedy']"
NBK 109,Telugu,2015,"Action, Drama",9000287,['Thriller']
Viswambhara,Telugu,2022,"Action, Drama",9000288,"['Thriller', 'Romance', 'Drama', 'Action']"
Sikandar,Telugu,2016,"Action, Drama",9000289,"['Action', 'Romance']"
Kanguva,Telugu,2026,"Action, Drama",9000290,"['Drama', 'Action', 'Romance']"
Vettaiyan,Telugu,2018,"Action, Drama",9000291,"['Thriller', 'Action']"
Thangalaan,Telugu,2016,"Action, Drama",9000292,"['Action', 'Comedy']"
Indian 2,Telugu,2017,"Action, Drama",9000293,"['Romance', 'Action', 'Comedy']"
Aay,Telugu,2022,"Action, Drama",9000294,"['Comedy', 'Sci-Fi', 'Romance']"
Committee Kurrollu,Telugu,2000,"Action, Drama",9000295,"['Horror', 'Drama', 'Action', 'Comedy']"
35 Chinna Katha Kaadu,Telugu,2022,"Action, Drama",9000296,"['Sci-Fi', 'Romance', 'Horror']"
Janaka Aithe Ganaka,Telugu,2017,"Action, Drama",9000297,"['Crime', 'Romance', 'Sci-Fi']"
Swag,Telugu,2026,"Action, Drama",9000298,"['Action', 'Thriller', 'Romance', 'Comedy']"
KA,Telugu,2000,"Action, Drama",9000299,"['Sci-Fi', 'Romance', 'Thriller', 'Comedy']"
Appudo Ippudo Eppudo,Telugu,2023,"Action, Drama",9000300,"['Romance', 'Thriller', 'Action']"
Pottel,Telugu,2010,"Action, Drama",9000301,"['Horror', 'Crime', 'Comedy']"
Bhagavanth Kesari,Telugu,2019,"Action, Drama",9000302,"['Crime', 'Action']"
Tiger Nageswara Rao,Telugu,2000,"Action, War, Drama",9000303,"['Drama', 'Thriller', 'Action']"
Skanda,Telugu,2003,"Action, Drama",9000304,"['Romance', 'Action', 'Thriller']"
Rules Ranjann,Telugu,2026,"Action, Drama",9000305,"['Crime', 'Comedy', 'Action']"
Peddha Kapu,Telugu,2003,"Action, Drama",9000306,"['Action', 'Drama', 'Comedy']"
MAD,Telugu,2010,"Action, Drama",9000307,"['Sci-Fi', 'Action', 'Thriller', 'Comedy']"
Month of Madhu,Telugu,2009,"Action, Drama",9000308,"['Horror', 'Action', 'Comedy']"
Bedurulanka 2012,Telugu,2017,"Action, Drama",9000311,"['Comedy', 'Romance']"
Gandeevadhari Arjuna,Telugu,2020,"Action, Drama",9000312,"['Drama', 'Horror', 'Action', 'Comedy']"
Bhola Shankar,Telugu,2000,"Action, Drama",9000313,"['Comedy', 'Thriller']"
Samajavaragamana,Telugu,2005,"Action, Drama",9000316,"['Comedy', 'Action']"
Adipurush,Telugu,2009,"Action, Drama",9000317,"['Action', 'Comedy', 'Crime']"
Vimanam,Telugu,2009,"Action, Drama",9000318,"['Action', 'Thriller', 'Comedy']"
Takkar,Telugu,2005,"Action, Drama",9000319,"['Action', 'Sci-Fi', 'Thriller', 'Comedy']"
Ahimsa,Telugu,2015,"Action, Drama",9000320,"['Horror', 'Romance']"
Mem Famous,Telugu,2016,"Action, Drama",9000321,"['Horror', 'Crime', 'Thriller', 'Action', 'Comedy']"
Anni Manchi Sakunamule,Telugu,2012,"Action, Drama",9000322,"['Romance', 'Comedy']"
Custody,Telugu,2018,"Action, Drama",9000323,"['Drama', 'Sci-Fi', 'Thriller', 'Action']"
Ugram,Telugu,2020,"Action, Drama",9000324,"['Comedy', 'Action']"
Ramabanam,Telugu,2016,"Action, Drama",9000325,"['Comedy', 'Action', 'Crime']"
Agent,Telugu,2011,"Action, Drama",9000326,"['Drama', 'Action', 'Comedy']"
Shaakuntalam,Telugu,2025,"Action, Drama",9000328,"['Drama', 'Comedy', 'Action']"
Ravanasura,Telugu,2008,"Action, Drama",9000329,"['Thriller', 'Sci-Fi', 'Action', 'Comedy']"
Meter,Telugu,2002,"Action, Drama",9000330,"['Horror', 'Romance', 'Drama', 'Action', 'Comedy']"
Phalana Abbayi Phalana Ammayi,Telugu,2011,"Action, Drama",9000332,"['Comedy', 'Horror', 'Action']"
Sir,Telugu,2003,"Action, Drama",9000334,"['Horror', 'Thriller', 'Comedy', 'Action']"
Amigos,Telugu,2002,"Action, Drama",9000335,"['Thriller', 'Action', 'Comedy']"
Writer Padmabhushan,Telugu,2022,"Action, Drama",9000336,"['Comedy', 'Action']"
Michael,Telugu,2024,"Action, Drama",9000337,"['Thriller', 'Drama', 'Action', 'Comedy']"
18 Pages,Telugu,2007,"Action, Drama",9000340,"['Comedy', 'Crime', 'Action']"
HIT: The Second Case,Telugu,2017,"Crime, Thriller",9000342,"['Sci-Fi', 'Action']"
Itlu Maredumilli Prajaneekam,Telugu,2026,"Action, Drama",9000343,"['Comedy', 'Action']"
Masooda,Telugu,2014,"Action, Drama",9000344,"['Thriller', 'Crime', 'Action']"
Yashoda,Telugu,2023,"Action, Drama",9000345,['Action']
Urvasivo Rakshasivo,Telugu,2024,"Action, Drama",9000346,"['Horror', 'Action']"
Sardar,Telugu,2013,"Action, Drama",9000347,"['Romance', 'Action']"
Prince,Telugu,2013,"Action, Drama",9000348,"['Horror', 'Comedy']"
Ori Devuda,Telugu,2014,"Action, Drama",9000349,"['Comedy', 'Action']"
Godfather,Telugu,2004,"Action, Drama",9000350,"['Drama', 'Action']"
Ghost,Telugu,2008,"Horror, Thriller",9000351,"['Action', 'Romance', 'Comedy']"
Krishna Vrinda Vihari,Telugu,2017,"Action, Drama",9000352,"['Sci-Fi', 'Drama', 'Action']"
Dongalunnaru Jagratha,Telugu,2015,"Action, Drama",9000353,"['Horror', 'Comedy']"
Aa Ammayi Gurinchi Meeku Cheppali,Telugu,2008,"Action, Drama",9000354,"['Romance', 'Crime']"
Brahmastra (Telugu),Telugu,2008,"Action, Drama",9000355,"['Romance', 'Sci-Fi', 'Comedy', 'Action']"
Cobra,Telugu,2024,"Action, Drama",9000356,"['Sci-Fi', 'Comedy']"
Liger,Telugu,2006,"Action, Drama",9000357,"['Horror', 'Crime']"
Macherla Niyojakavargam,Telugu,2008,"Action, Drama",9000359,"['Horror', 'Comedy', 'Drama', 'Action']"
Rama Rao on Duty,Telugu,2022,"Action, Drama",9000362,"['Action', 'Comedy', 'Drama']"
Thank You,Telugu,2018,"Action, Drama",9000363,"['Romance', 'Thriller', 'Comedy', 'Action']"
The Warriorr,Telugu,2024,"Action, War, Drama",9000364,"['Crime', 'Thriller', 'Action', 'Comedy']"
Happy Birthday,Telugu,2006,"Action, Drama",9000365,"['Horror', 'Action', 'Comedy']"
Pakka Commercial,Telugu,2001,"Action, Drama",9000366,"['Romance', 'Sci-Fi', 'Horror', 'Comedy']"
Sammathame,Telugu,2021,"Action, Drama",9000367,"['Romance', 'Action']"
Chor Bazaar,Telugu,2014,"Crime, Thriller",9000368,"['Drama', 'Action']"
Virata Parvam,Telugu,2015,"Action, Drama",9000369,"['Thriller', 'Action']"
F3,Telugu,2023,"Action, Drama",9000372,['Crime']
Sarkaru Vaari Paata,Telugu,2005,"Action, Drama",9000373,"['Thriller', 'Sci-Fi']"
Acharya,Telugu,2002,"Action, Drama",9000374,"['Horror', 'Action', 'Comedy']"
KGF Chapter 2 (Telugu),Telugu,2005,"Action, Drama",9000375,"['Drama', 'Comedy']"
Ghani,Telugu,2020,"Action, Drama",9000376,"['Romance', 'Horror', 'Action', 'Comedy']"
Radhe Shyam,Telugu,2019,"Action, Drama",9000378,"['Sci-Fi', 'Horror', 'Comedy']"
Bheemla Nayak,Telugu,2016,"Action, Drama",9000379,"['Crime', 'Romance']"
Khiladi,Telugu,2018,"Action, Drama",9000380,"['Comedy', 'Romance', 'Action']"
Jawan,Hindi,2007,"Action, Thriller",9000382,"['Sci-Fi', 'Action', 'Horror', 'Drama']"
Pathaan,Hindi,2007,"Action, Thriller",9000383,"['Horror', 'Drama', 'Romance']"
Animal,Hindi,2026,"Action, Crime, Drama",9000384,"['Sci-Fi', 'Action', 'Romance', 'Drama']"
Fighter,Hindi,2004,"Action, Thriller",9000385,"['Sci-Fi', 'Romance']"
Brahmastra Part One: Shiva,Hindi,2022,"Action, Adventure, Fantasy",9000386,"['Sci-Fi', 'Drama', 'Romance']"
Drishyam 2,Hindi,2015,"Crime, Drama, Thriller",9000387,"['Action', 'Drama']"
Bhool Bhulaiyaa 2,Hindi,2005,"Comedy, Horror",9000388,"['Comedy', 'Drama']"
The Kashmir Files,Hindi,2008,Drama,9000389,"['Horror', 'Crime', 'Romance']"
Sooryavanshi,Hindi,2019,"Drama, Romance, Comedy",9000390,"['Thriller', 'Comedy', 'Drama', 'Romance']"
Shershaah,Hindi,2000,"Action, Biography, Drama",9000391,"['Drama', 'Thriller', 'Crime']"
83,Hindi,2000,"Drama, Romance, Comedy",9000392,"['Horror', 'Thriller', 'Drama']"
Tanhaji: The Unsung Warrior,Hindi,2011,"Action, War, Drama",9000393,"['Comedy', 'Crime', 'Romance', 'Drama']"
Thappad,Hindi,2005,Drama,9000394,"['Horror', 'Drama', 'Crime']"
Ludo,Hindi,2012,"Drama, Romance, Comedy",9000395,"['Romance', 'Sci-Fi', 'Horror', 'Drama']"
Gadar 2,Hindi,2017,"Drama, Romance, Comedy",9000396,['Drama']
Rocky Aur Rani Kii Prem Kahaani,Hindi,2001,"Comedy, Drama, Romance",9000397,"['Thriller', 'Drama', 'Romance']"
Dunki,Hindi,2024,"Comedy, Drama",9000398,"['Action', 'Comedy', 'Thriller', 'Drama']"
Tiger 3,Hindi,2003,"Drama, Romance, Comedy",9000399,"['Crime', 'Sci-Fi', 'Comedy', 'Drama', 'Romance']"
Crew,Hindi,2014,"Drama, Romance, Comedy",9000401,"['Horror', 'Drama', 'Romance']"
Shaitaan,Hindi,2026,"Horror, Thriller",9000402,"['Action', 'Drama', 'Romance']"
Dangal,Hindi,2001,"Biography, Drama, Sport",9000403,"['Action', 'Horror', 'Thriller', 'Drama', 'Romance']"
PK,Hindi,2016,"Comedy, Drama, Sci-Fi",9000404,"['Thriller', 'Romance', 'Comedy']"
3 Idiots,Hindi,2004,"Comedy, Drama",9000405,"['Sci-Fi', 'Drama', 'Romance']"
Sanju,Hindi,2023,"Biography, Drama",9000406,"['Action', 'Thriller', 'Romance']"
Bajrangi Bhaijaan,Hindi,2014,"Action, Adventure, Comedy, Drama",9000407,"['Drama', 'Horror', 'Romance']"
Sultan,Hindi,2011,"Action, Drama, Sport",9000408,"['Drama', 'Action', 'Thriller']"
Tiger Zinda Hai,Hindi,2022,"Action, Adventure, Thriller",9000409,"['Sci-Fi', 'Thriller', 'Drama', 'Romance']"
Ek Tha Tiger,Hindi,2021,"Drama, Romance, Comedy",9000410,"['Comedy', 'Sci-Fi', 'Romance', 'Drama']"
Dhoom 3,Hindi,2021,"Drama, Romance, Comedy",9000411,"['Thriller', 'Action', 'Crime', 'Drama', 'Romance']"
War,Hindi,2013,"Action, Thriller",9000412,"['Action', 'Sci-Fi', 'Drama', 'Romance']"
Krrish 3,Hindi,2020,"Drama, Romance, Comedy",9000413,"['Thriller', 'Comedy', 'Drama']"
Chennai Express,Hindi,2003,"Drama, Romance, Comedy",9000414,"['Drama', 'Romance']"
Happy New Year,Hindi,2002,"Drama, Romance, Comedy",9000415,"['Horror', 'Action', 'Drama']"
Prem Ratan Dhan Payo,Hindi,2017,"Romance, Drama",9000417,"['Romance', 'Sci-Fi', 'Drama']"
Yeh Jawaani Hai Deewani,Hindi,2018,"Drama, Romance, Comedy",9000418,"['Horror', 'Romance', 'Drama']"
Kabir Singh,Hindi,2000,"Drama, Romance",9000419,"['Action', 'Drama']"
Uri: The Surgical Strike,Hindi,2015,"Action, Drama, War",9000420,"['Sci-Fi', 'Crime', 'Drama', 'Romance']"
Simmba,Hindi,2007,"Drama, Romance, Comedy",9000421,['Drama']
Padmaavat,Hindi,2026,"Drama, Romance, Comedy",9000422,"['Romance', 'Drama']"
Bajirao Mastani,Hindi,2013,"Drama, Romance, Comedy",9000423,"['Romance', 'Action', 'Drama']"
Golmaal Again,Hindi,2011,"Comedy, Drama",9000424,"['Sci-Fi', 'Action', 'Horror', 'Drama']"
Good Newwz,Hindi,2004,"Drama, Romance, Comedy",9000425,"['Sci-Fi', 'Drama']"
Mission Mangal,Hindi,2003,"Drama, Romance, Comedy",9000426,"['Drama', 'Crime']"
Housefull 4,Hindi,2001,"Drama, Romance, Comedy",9000427,['Romance']
Bharat,Hindi,2002,"Drama, Romance, Comedy",9000428,"['Romance', 'Drama']"
Super 30,Hindi,2013,"Drama, Romance, Comedy",9000429,"['Thriller', 'Horror', 'Sci-Fi']"
Gully Boy,Hindi,2006,"Drama, Music",9000430,"['Drama', 'Sci-Fi', 'Action']"
Andhadhun,Hindi,2013,"Crime, Thriller, Comedy",9000431,"['Romance', 'Horror', 'Drama']"
Badhaai Ho,Hindi,2015,"Drama, Romance, Comedy",9000432,"['Crime', 'Drama', 'Romance']"
Raazi,Hindi,2001,"Horror, Thriller",9000433,"['Action', 'Thriller', 'Romance']"
Stree,Hindi,2000,"Comedy, Horror",9000434,"['Sci-Fi', 'Drama', 'Romance']"
Baaghi 2,Hindi,2006,"Drama, Romance, Comedy",9000435,"['Crime', 'Drama']"
Sonu Ke Titu Ki Sweety,Hindi,2008,"Drama, Romance, Comedy",9000436,"['Crime', 'Romance', 'Drama']"
Toilet: Ek Prem Katha,Hindi,2000,"Romance, Drama",9000437,"['Horror', 'Drama', 'Romance']"
Judwaa 2,Hindi,2023,"Drama, Romance, Comedy",9000438,['Romance']
Badrinath Ki Dulhania,Hindi,2002,"Drama, Romance, Comedy",9000439,"['Drama', 'Crime', 'Romance']"
Jolly LLB 2,Hindi,2002,"Drama, Romance, Comedy",9000440,"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance']"
Ae Dil Hai Mushkil,Hindi,2024,"Romance, Drama",9000441,"['Comedy', 'Crime', 'Romance']"
M.S. Dhoni: The Untold Story,Hindi,2019,"Drama, Romance, Comedy",9000442,"['Drama', 'Comedy', 'Romance']"
Airlift,Hindi,2017,"Drama, Romance, Comedy",9000443,"['Horror', 'Comedy', 'Romance']"
Rustom,Hindi,2015,"Drama, Romance, Comedy",9000444,"['Action', 'Drama', 'Romance']"
Neerja,Hindi,2024,"Drama, Romance, Comedy",9000445,"['Sci-Fi', 'Thriller', 'Drama']"
Kapoor & Sons,Hindi,2006,"Drama, Romance, Comedy",9000446,"['Sci-Fi', 'Drama', 'Romance']"
Pink,Hindi,2014,"Drama, Romance, Comedy",9000447,"['Horror', 'Drama', 'Crime']"
Dear Zindagi,Hindi,2004,"Drama, Romance, Comedy",9000448,"['Thriller', 'Romance', 'Drama']"
Udta Punjab,Hindi,2013,"Drama, Romance, Comedy",9000449,"['Sci-Fi', 'Thriller', 'Romance']"
Piku,Hindi,2017,"Drama, Romance, Comedy",9000450,"['Comedy', 'Action']"
Tanu Weds Manu Returns,Hindi,2000,"Drama, Romance, Comedy",9000451,"['Crime', 'Sci-Fi', 'Drama']"
Dil Dhadakne Do,Hindi,2026,"Romance, Drama",9000452,"['Thriller', 'Comedy', 'Action', 'Drama']"
Queen,Hindi,2009,"Drama, Romance, Comedy",9000454,"['Sci-Fi', 'Drama', 'Romance']"
2 States,Hindi,2019,"Drama, Romance, Comedy",9000455,"['Horror', 'Action', 'Comedy', 'Drama']"
Ek Villain,Hindi,2020,"Drama, Romance, Comedy",9000456,"['Sci-Fi', 'Thriller', 'Comedy', 'Drama']"
Highway,Hindi,2026,"Drama, Romance, Comedy",9000457,"['Thriller', 'Comedy', 'Sci-Fi', 'Drama', 'Romance']"
